k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
4;chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924, chr12:18976499-18976774; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr4:180401309..180401311,+, chr11:65220998..65221001,+; 64.858849149328094; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924, chr12:18976499-18976774; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr4:180401309..180401311,+, chr17:72774120..72774160,-; 60.546939804518004; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924, chr12:18976499-18976774; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr19:55207635..55207643,+, chr17:72774120..72774160,-; 59.726169826649524; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924, chr12:18976499-18976774; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr4:180401309..180401311,+, chr2:174901358..174901381,+; 55.119373064641167; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924, chr12:18976499-18976774; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr4:180401309..180401311,+, chr19:55207635..55207643,+; 54.945717141179969
;CD14+ CD16+ Monocytes;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr9:136726933-136727104, chr16:21812929-21813171; chr3:101592712..101592731,+, chr6:15596024..15596037,+; 76.076150706203705; chr9:136726933-136727104, chr16:21812929-21813171; chr3:101592712..101592731,+, chr17:72774120..72774160,-; 68.843273497844038; chr9:136726933-136727104, chr16:21812929-21813171; chr3:101592712..101592731,+, chr7:151541695..151541706,-; 68.05139814830811; chr9:136726933-136727104, chr16:21812929-21813171; chr3:101592712..101592731,+, chr11:105115474..105115483,+; 67.876811457071838; chr9:136726933-136727104, chr16:21812929-21813171; chr3:101592712..101592731,+, chr10:64468560..64468570,+; 67.677283809944683
3;chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr11:45596548..45596552,+; 73.005818714284246; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr10:64468560..64468570,+; 72.499642150583554; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710; chr3:101592712..101592731,+, chr4:180401309..180401311,+, chr7:151541695..151541706,-; 71.508943635533029; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr4:2794535..2794549,-; 69.351602880081444; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr17:72563537..72563540,-; 69.205434246713338
4;chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710, chr10:50493272-50493615; chr3:101592712..101592731,+, chr4:180401309..180401311,+, chr7:151541695..151541706,-, chr17:72607002..72607029,+; 83.852875343753709; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710, chr10:50493272-50493615; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr17:72607002..72607029,+, chr11:45596548..45596552,+; 81.618284026762453; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710, chr10:50493272-50493615; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr17:72607002..72607029,+, chr22:39358630..39358667,-; 81.456095947303425; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710, chr10:50493272-50493615; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr17:72607002..72607029,+, chr10:64468560..64468570,+; 80.481329207120282; chr9:136726933-136727104, chr16:21812929-21813171, chr3:141573588-141573710, chr10:50493272-50493615; chr3:101592712..101592731,+, chr7:151541695..151541706,-, chr17:72607002..72607029,+, chr19:55207635..55207643,+; 80.217568795070733
;CD14- CD16+ Monocytes;;;;;;;;;;;;;;
1;chr10:73476938-73477043,; chr4:156588927..156588939,+,; 36.977875536649549;;;;;;;;;;;;
2;chr10:73476938-73477043, chr9:136726933-136727104; chr4:156588927..156588939,+, chr8:144480343..144480350,-; 72.724509387331111; chr10:73476938-73477043, chr9:136726933-136727104; chr4:156588927..156588939,+, chr2:47300299..47300310,+; 68.641860536818029; chr10:73476938-73477043, chr9:136726933-136727104; chr4:156588927..156588939,+, chr5:172232848..172232850,-; 68.492949332544001; chr10:73476938-73477043, chr9:136726933-136727104; chr4:156588927..156588939,+, chr7:101923267..101923278,+; 67.847667447356514; chr10:73476938-73477043, chr9:136726933-136727104; chr4:156588927..156588939,+, chr3:101618011..101618028,+; 67.692551609571069
3;chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr17:72563537..72563540,-; 69.433819950711353; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr17:72607002..72607029,+; 67.829347374306892; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253; chr4:156588927..156588939,+, chr3:101592712..101592731,+, chr17:72607002..72607029,+; 66.744443937577032; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr9:138967894..138967906,-; 66.434856108237227; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr4:2794535..2794549,-; 65.804912177232794
4;chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253, chrY:2874047-2874440; chr4:156588927..156588939,+, chr3:101592712..101592731,+, chr7:20581331..20581339,-, chr7:101923267..101923278,+; 66.67681085214771; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253, chrY:2874047-2874440; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr7:155055063..155055078,+, chr4:2794535..2794549,-; 65.777665897088696; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253, chrY:2874047-2874440; chr4:156588927..156588939,+, chr3:101592712..101592731,+, chr7:155055063..155055078,+, chr10:43609342..43609351,+; 65.432342110000818; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253, chrY:2874047-2874440; chr4:156588927..156588939,+, chr3:101592712..101592731,+, chr7:20581331..20581339,-, chr17:72607002..72607029,+; 64.958336345649073; chr10:73476938-73477043, chr9:136726933-136727104, chr9:138937950-138938253, chrY:2874047-2874440; chr4:156588927..156588939,+, chr7:20581331..20581339,-, chr7:155055063..155055078,+, chr10:43609342..43609351,+; 63.774136377663723
;chorionic membrane cells;;;;;;;;;;;;;;
1;chr4:8561379-8561777,; chr9:118752198..118752206,+,; 89.854886352759848; chr4:8561379-8561777,; chr7:150554953..150554959,+,; 86.386803019846326; chr4:8561379-8561777,; chr2:46656302..46656326,+,; 86.206642846707965; chr4:8561379-8561777,; chr19:40195084..40195100,+,; 81.072077912264547; chr4:8561379-8561777,; chr19:40194964..40194986,+,; 80.936957782410758
2;chr4:8561379-8561777, chr22:33000436-33000667; chr9:118752198..118752206,+, chr19:40195084..40195100,+; 88.049954160533744; chr4:8561379-8561777, chr22:33000436-33000667; chr9:118752198..118752206,+, chr7:150554953..150554959,+; 84.835954001619172; chr4:8561379-8561777, chr22:33000436-33000667; chr9:118752198..118752206,+, chr1:92371839..92371867,-; 84.51331305902545; chr4:8561379-8561777, chr22:33000436-33000667; chr9:118752198..118752206,+, chr20:50827192..50827208,+; 83.8494172733037; chr4:8561379-8561777, chr22:33000436-33000667; chr9:118752198..118752206,+, chr1:24927382..24927395,+; 81.894957717207035
3;chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr1:24927262..24927267,+; 90.940751851542345; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr20:11677855..11677865,-; 90.375417554487072; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr3:135741866..135741908,+; 89.936610457248946; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chrX:56058051..56058060,-; 88.927084926793114; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr18:27755939..27755949,-; 88.318677540438401
4;chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433, chr10:4034997-4035363; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr2:233251619..233251664,-, chr3:135741866..135741908,+; 95.597678020757741; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433, chr10:4034997-4035363; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr2:233251619..233251664,-, chr9:90000420..90000454,-; 95.46899604349386; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433, chr10:4034997-4035363; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr3:135741866..135741908,+, chr18:27755939..27755949,-; 94.131680811422385; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433, chr10:4034997-4035363; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr2:233251619..233251664,-, chr1:92371839..92371867,-; 93.804274768004177; chr4:8561379-8561777, chr22:33000436-33000667, chr12:132368164-132368433, chr10:4034997-4035363; chr9:118752198..118752206,+, chr19:40195084..40195100,+, chr2:233251619..233251664,-, chr3:45982401..45982426,+; 93.69676830598624
;Ciliary Epithelial Cells;;;;;;;;;;;;;;
1;chr11:31841387-31841587,; chr12:97958275..97958288,+,; 79.450636354019252; chr11:31841387-31841587,; chr12:97856211..97856221,+,; 67.830305186594657; chr11:31841387-31841587,; chr12:97904646..97904653,+,; 63.956861464119797; chr11:31841387-31841587,; chr6:162477886..162477932,-,; 55.083972937055293; chr11:31841387-31841587,; chr3:168955394..168955399,-,; 33.464752160451418
2;chr11:31841387-31841587, chr11:27419147-27419279; chr12:97958275..97958288,+, chr12:97856211..97856221,+; 88.713849946255465; chr11:31841387-31841587, chr11:27419147-27419279; chr12:97958275..97958288,+, chr12:97904646..97904653,+; 88.608371176561363; chr11:31841387-31841587, chr11:27419147-27419279; chr12:97958275..97958288,+, chr7:107883785..107883799,-; 87.838996621145526; chr11:31841387-31841587, chr11:27419147-27419279; chr12:97958275..97958288,+, chr7:43417422..43417435,+; 87.491537144506111; chr11:31841387-31841587, chr11:27419147-27419279; chr12:97958275..97958288,+, chr2:35680607..35680613,-; 87.361239840766331
3;chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr12:97856637..97856647,+; 94.260071795681114; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr7:107883785..107883799,-; 94.101239778889408; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr7:107883809..107883820,-; 93.393225873529701; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598; chr12:97958275..97958288,+, chr9:75848662..75848671,-, chr12:97904646..97904653,+; 93.196704903600974; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598; chr12:97958275..97958288,+, chr9:75848662..75848671,-, chr7:107883785..107883799,-; 92.70136437665731
4;chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598, chr12:24903057-24903444; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr9:75848662..75848671,-, chr15:79501729..79501736,+; 96.219912391831187; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598, chr12:24903057-24903444; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr9:75848662..75848671,-, chr3:150690508..150690520,-; 95.680751195953405; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598, chr12:24903057-24903444; chr12:97958275..97958288,+, chr9:75848662..75848671,-, chr12:97904646..97904653,+, chr2:45166428..45166437,-; 95.418500584061178; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598, chr12:24903057-24903444; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr12:97904646..97904653,+, chr7:107883785..107883799,-; 95.351716266747033; chr11:31841387-31841587, chr11:27419147-27419279, chr13:44978399-44978598, chr12:24903057-24903444; chr12:97958275..97958288,+, chr12:97856211..97856221,+, chr9:75848662..75848671,-, chr12:97856637..97856647,+; 95.332169637289226
;Corneal Epithelial Cells;;;;;;;;;;;;;;
1;chr4:1753782-1754101,; chr12:53189894..53189905,-,; 57.516135274423227; chr4:1753782-1754101,; chr1:26498321..26498327,-,; 48.913487007066273; chr4:1753782-1754101,; chr11:31839466..31839472,-,; 43.553721856199893;;;;;;
2;chr4:1753782-1754101, chr4:1760039-1760352; chr12:53189894..53189905,-, chr11:31839466..31839472,-; 70.490841323220621; chr4:1753782-1754101, chr4:1760039-1760352; chr12:53189894..53189905,-, chr11:31839453..31839462,-; 69.839354804521719; chr4:1753782-1754101, chr4:1760039-1760352; chr12:53189894..53189905,-, chr12:48164812..48164829,-; 66.321327603547687; chr4:1753782-1754101, chr4:1760039-1760352; chr12:53189894..53189905,-, chr1:26498321..26498327,-; 64.590234853862043; chr4:1753782-1754101, chr4:1760039-1760352; chr12:53189894..53189905,-, chr11:66475681..66475728,-; 64.521983885236438
3;chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172; chr12:53189894..53189905,-, chr1:26498321..26498327,-, chr11:31839466..31839472,-; 75.245994938055716; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172; chr12:53189894..53189905,-, chr1:26498321..26498327,-, chr12:48164812..48164829,-; 74.850260930117031; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr12:48164812..48164829,-; 73.78420196995566; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr11:31839453..31839462,-; 73.202715264413115; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172; chr12:53189894..53189905,-, chr1:26498321..26498327,-, chr11:66475681..66475728,-; 73.13810563046394
4;chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172, chr6:7532623-7532708; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr1:26498321..26498327,-, chr11:31839453..31839462,-; 79.84309467776724; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172, chr6:7532623-7532708; chr12:53189894..53189905,-, chr1:26498321..26498327,-, chr12:48164812..48164829,-, chr11:31839466..31839472,-; 79.709526043138922; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172, chr6:7532623-7532708; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr1:26498321..26498327,-, chr12:48164812..48164829,-; 79.67531944158776; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172, chr6:7532623-7532708; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr1:26498321..26498327,-, chr11:31839466..31839472,-; 79.551524121688331; chr4:1753782-1754101, chr4:1760039-1760352, chr2:20372050-20372172, chr6:7532623-7532708; chr12:53189894..53189905,-, chr10:5529595..5529606,-, chr12:48164812..48164829,-, chr11:31839453..31839462,-; 78.932547522191172
;Dendritic Cells - plasmacytoid;;;;;;;;;;;;;;
1;chr16:27201140-27201324,; chr20:42340062..42340071,+,; 91.251127694582195; chr16:27201140-27201324,; chr16:30383613..30383616,+,; 85.75624241386204; chr16:27201140-27201324,; chr5:43519263..43519271,+,; 85.531042197439078; chr16:27201140-27201324,; chr3:46077062..46077087,+,; 85.215761894446956; chr16:27201140-27201324,; chr13:60902553..60902562,+,; 85.170721851162355
2;chr16:27201140-27201324, chr7:2538442-2538641; chr20:42340062..42340071,+, chr11:640216..640230,+; 96.041522123240199; chr16:27201140-27201324, chr7:2538442-2538641; chr20:42340062..42340071,+, chr3:46077062..46077087,+; 94.701321284773897; chr16:27201140-27201324, chr7:2538442-2538641; chr20:42340062..42340071,+, chr4:786606..786618,-; 94.446931310805766; chr16:27201140-27201324, chr7:2538442-2538641; chr20:42340062..42340071,+, chr15:75304053..75304061,+; 94.149108902257709; chr16:27201140-27201324, chr7:2538442-2538641; chr20:42340062..42340071,+, chr21:45602441..45602448,+; 94.056039399586425
3;chr16:27201140-27201324, chr7:2538442-2538641, chr16:87844019-87844295; chr20:42340062..42340071,+, chr15:78466862..78466878,-, chr1:51768799..51768815,-; 99.671128638924358; chr16:27201140-27201324, chr7:2538442-2538641, chr16:87844019-87844295; chr20:42340062..42340071,+, chr15:78466862..78466878,-, chr10:103662491..103662497,+; 97.678998258824848; chr16:27201140-27201324, chr7:2538442-2538641, chr16:87844019-87844295; chr20:42340062..42340071,+, chr2:220465618..220465623,+, chr6:42883729..42883740,+; 97.635925169525407; chr16:27201140-27201324, chr7:2538442-2538641, chr16:87844019-87844295; chr20:42340062..42340071,+, chr15:78466862..78466878,-, chr17:37322433..37322466,+; 97.205194276530918; chr16:27201140-27201324, chr7:2538442-2538641, chr16:87844019-87844295; chr20:42340062..42340071,+, chr2:220465618..220465623,+, chr1:51768799..51768815,-; 96.752926838886694
